"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Canada","CAN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","96.99951171875","97.0323333740234","97.0661087036133","97.1183090209961","97.1621627807617","97.2062835693359","97.2604675292969","97.3872833251953","97.4855194091797","97.5858535766602","97.685432434082","97.7676696777344","97.8522109985352","97.9330978393555","98.0094223022461","","","","","","","","","","","","","","","","","","99.1360015869141","99.1648788452148","99.1938018798828","99.2280578613281","99.2559585571289","99.2838668823242","99.3091430664062","99.3347702026367","99.3508377075195","99.3539199829102",
"Switzerland","CHE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","90.8001174926758","","","","","","","","","","94.0367126464844","","","","","","","","","","95.6409301757812","","","","","","","","","96.5307083129883","","96.161750793457","","96.7439575195312","","96.3340225219727","","","","","97.120002746582",
"China","CHN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","51.1368103027344","","","","","","","","68.0720825195312","","","","","","","","","","86.5266036987305","","","","","","","","","","92.7112274169922","","","","","","","","","","95.6100006103516","","",
"Cote d'Ivoire","CIV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.433780670166","","","","","","","","","","28.4766693115234","","38.6145095825195","","","","","","","","","","","","30.4617195129395","","36.7842483520508","","","","","86.7412490844727","","","",
"Cameroon","CMR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","29.1161308288574","","","","","","","","","","","","","","","","","","","","","","","","58.7217597961426","","","","","","","63.0220603942871","","","64.7994995117188","","","","","","","","71.5862731933594","","73.120002746582","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0609016418457","","","","","","46.1042518615723","","","","","62.9186401367188","","","","66.4999771118164","","","","","","71.7300033569336",
"Congo, Rep.","COG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","49.0013389587402","","","","","","","","","","","","","","","","","","","","","67.4807662963867","","","","","","72.8770599365234","","","","","","","","","","75.370002746582","",
